2139,-6.44,0.009,0.93,33.33,4074,4144
6687,-3.29,0.01,0.9,35.39,4074,4145
15393,-2.43,0.013,0.93,32.44,4145,4217
6120,-3.44,0.012,0.94,33.73,4148,4220
21592,-2.24,0.01,0.94,33.81,4149,4221
3496,-4.62,0.012,0.92,34.14,4152,4224
5934,-3.49,0.011,0.94,35.93,4152,4224
13251,-2.51,0.011,0.9,32.53,4152,4224
2763,-5.39,0.013,0.88,34.65,4152,4224
13649,-2.52,0.011,0.9,35.18,4166,4238
1351,-9.14,0.01,0.86,29.79,4166,4238
16920,-2.4,0.01,0.93,33.2,4169,4241
5295,-3.66,0.011,0.86,34.37,4169,4241
3217,-4.87,0.01,0.93,35.36,4176,4248
29118,-2.11,0.011,0.91,33.6,4180,4252
17838,-2.37,0.011,0.92,34.35,4190,4262
4584,-3.93,0.012,0.89,35.29,4192,4264
10528,-2.71,0.012,0.88,34.2,4192,4264
16658,-2.41,0.011,0.94,32.86,4196,4268
5761,-3.49,0.01,0.88,32.66,4216,4288
19304,-2.31,0.011,0.93,31.6,4226,4298
10596,-2.72,0.011,0.92,35.21,4228,4300
10431,-2.74,0.012,0.91,34.34,4231,4303
5302,-3.7,0.011,0.96,32.17,4231,4303
26430,-2.17,0.011,0.9,34.21,4233,4305
12808,-2.58,0.011,0.92,34.87,4234,4306
16066,-2.38,0.011,0.93,35.45,4234,4306
15506,-2.43,0.011,0.91,31.89,4234,4306
4113,-4.2,0.01,0.91,31.87,4234,4306
23327,-2.22,0.011,0.9,34.7,4241,4313
25164,-2.2,0.011,0.91,33.99,4242,4314
2873,-5.26,0.011,0.97,34.3,4242,4315
33531,-2.05,0.011,0.91,33.39,4242,4316
2873,-5.25,0.013,0.9,34.83,4247,4321
8335,-3.0,0.014,0.91,34.32,4247,4321
24584,-2.2,0.012,0.92,33.4,4247,4321
4187,-4.16,0.011,0.95,36.04,4248,4322
1616,-7.97,0.012,0.94,42.34,4248,4322
3956,-4.3,0.012,0.93,35.35,4248,4322
17265,-2.35,0.011,0.92,34.32,4255,4329
9518,-2.82,0.011,0.9,32.36,4256,4331
8613,-2.91,0.011,0.89,30.87,4264,4339
1509,-8.39,0.013,0.94,29.55,4264,4339
29857,-2.09,0.01,0.91,33.17,4277,4352
2635,-5.53,0.011,0.87,33.34,4277,4352
12548,-2.57,0.01,0.93,34.37,4278,4354
4276,-4.11,0.014,0.88,33.79,4280,4356
12028,-2.6,0.011,0.92,34.57,4280,4356
12021,-2.61,0.012,0.93,34.64,4281,4357
8244,-2.99,0.01,0.9,35.63,4281,4357
55131,-1.97,0.011,0.88,33.77,4301,4377
3775,-4.39,0.011,0.88,36.57,4301,4377
16190,-2.41,0.011,0.9,36.37,4303,4379
16832,-2.37,0.011,0.93,34.46,4303,4380
2444,-5.87,0.013,0.91,37.92,4304,4381
10929,-2.68,0.012,0.93,34.74,4304,4381
25661,-2.17,0.011,0.92,34.02,4304,4382
11657,-2.55,0.011,0.79,33.49,4304,4382
938,-12.42,0.012,0.92,36.69,4304,4382
34988,-1.99,0.011,0.82,33.46,4304,4382
36664,-2.02,0.011,0.88,34.4,4308,4386
6874,-3.21,0.011,0.9,34.4,4308,4386
12992,-2.45,0.011,0.72,32.8,4308,4386
14688,-2.42,0.012,0.82,36.62,4308,4386
712,-15.77,0.011,0.91,46.44,4308,4386
2049,-6.64,0.012,0.92,33.77,4308,4386
15565,-2.4,0.011,0.88,34.01,4313,4391
1235,-9.79,0.01,0.78,35.66,4313,4392
